Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,"9,039.46","9,093.43","9,010.89","9,092.19","9,092.19","2,862,700,000"
2020-01-03,"8,976.43","9,065.76","8,976.43","9,020.77","9,020.77","2,586,520,000"
2020-01-06,"8,943.50","9,072.41","8,943.50","9,071.47","9,071.47","2,810,450,000"
2020-01-07,"9,076.64","9,091.93","9,042.55","9,068.58","9,068.58","2,381,740,000"
2020-01-08,"9,068.03","9,168.89","9,059.38","9,129.24","9,129.24","2,472,620,000"
2020-01-09,"9,202.27","9,215.95","9,158.50","9,203.43","9,203.43","2,540,960,000"
2020-01-10,"9,232.95","9,235.20","9,164.66","9,178.86","9,178.86","2,382,900,000"
2020-01-13,"9,213.72","9,274.49","9,193.06","9,273.93","9,273.93","2,536,820,000"
2020-01-14,"9,270.61","9,298.33","9,226.49","9,251.33","9,251.33","2,553,160,000"
2020-01-15,"9,253.76","9,298.82","9,231.14","9,258.70","9,258.70","2,443,220,000"
2020-01-16,"9,313.45","9,357.92","9,301.32","9,357.13","9,357.13","2,312,110,000"
2020-01-17,"9,392.37","9,393.48","9,346.81","9,388.94","9,388.94","2,542,540,000"
2020-01-21,"9,361.07","9,397.58","9,350.20","9,370.81","9,370.81","2,686,610,000"
2020-01-22,"9,413.61","9,439.29","9,375.13","9,383.77","9,383.77","2,454,580,000"
2020-01-23,"9,377.72","9,409.20","9,334.13","9,402.48","9,402.48","2,465,850,000"
2020-01-24,"9,446.21","9,451.43","9,273.23","9,314.91","9,314.91","2,622,970,000"
2020-01-27,"9,092.46","9,185.45","9,088.04","9,139.31","9,139.31","2,593,910,000"
2020-01-28,"9,201.82","9,288.87","9,182.33","9,269.68","9,269.68","2,169,020,000"
2020-01-29,"9,318.26","9,329.12","9,249.04","9,275.16","9,275.16","2,234,620,000"
2020-01-30,"9,211.15","9,303.00","9,185.18","9,298.93","9,298.93","2,345,370,000"
2020-01-31,"9,324.33","9,324.80","9,123.22","9,150.94","9,150.94","2,696,090,000"
2020-02-03,"9,190.72","9,299.85","9,188.55","9,273.40","9,273.40","2,427,320,000"
2020-02-04,"9,398.39","9,485.38","9,374.05","9,467.97","9,467.97","2,447,340,000"
2020-02-05,"9,574.10","9,574.94","9,454.93","9,508.68","9,508.68","2,470,240,000"
2020-02-06,"9,540.98","9,575.66","9,505.68","9,572.15","9,572.15","2,313,860,000"
2020-02-07,"9,526.64","9,570.09","9,496.53","9,520.51","9,520.51","2,243,720,000"
2020-02-10,"9,493.63","9,628.66","9,493.63","9,628.39","9,628.39","2,187,520,000"
2020-02-11,"9,680.89","9,714.74","9,617.21","9,638.94","9,638.94","2,450,070,000"
2020-02-12,"9,688.60","9,728.77","9,666.69","9,725.96","9,725.96","2,366,510,000"
2020-02-13,"9,657.04","9,748.32","9,650.02","9,711.97","9,711.97","2,254,870,000"
2020-02-14,"9,728.90","9,746.36","9,693.05","9,731.18","9,731.18","2,226,720,000"
2020-02-18,"9,679.04","9,747.68","9,675.80","9,732.74","9,732.74","2,279,420,000"
2020-02-19,"9,782.81","9,838.37","9,777.10","9,817.18","9,817.18","2,470,860,000"
2020-02-20,"9,799.20","9,820.86","9,636.94","9,750.97","9,750.97","2,745,730,000"
2020-02-21,"9,708.01","9,715.95","9,542.33","9,576.59","9,576.59","2,750,160,000"
2020-02-24,"9,188.44","9,322.88","9,166.01","9,221.28","9,221.28","3,188,590,000"
2020-02-25,"9,301.20","9,315.26","8,940.49","8,965.61","8,965.61","3,595,520,000"
2020-02-26,"9,011.55","9,148.32","8,927.80","8,980.78","8,980.78","3,587,950,000"
2020-02-27,"8,744.03","8,904.11","8,562.05","8,566.48","8,566.48","4,559,900,000"
2020-02-28,"8,269.74","8,591.82","8,264.16","8,567.37","8,567.37","5,320,020,000"
2020-03-02,"8,667.14","8,952.81","8,543.35","8,952.17","8,952.17","4,249,020,000"
2020-03-03,"8,965.10","9,070.32","8,602.89","8,684.09","8,684.09","4,336,700,000"
2020-03-04,"8,834.10","9,019.96","8,757.66","9,018.09","9,018.09","3,634,760,000"
2020-03-05,"8,790.09","8,921.08","8,677.39","8,738.59","8,738.59","3,763,860,000"
2020-03-06,"8,469.02","8,612.36","8,375.13","8,575.62","8,575.62","4,292,730,000"
2020-03-09,"7,957.93","8,243.31","7,943.16","7,950.68","7,950.68","4,554,110,000"
2020-03-10,"8,219.76","8,347.40","7,930.43","8,344.25","8,344.25","4,447,260,000"
2020-03-11,"8,136.25","8,181.36","7,850.95","7,952.05","7,952.05","4,302,610,000"
2020-03-12,"7,398.58","7,712.33","7,194.67","7,201.80","7,201.80","5,099,350,000"
2020-03-13,"7,610.39","7,875.93","7,219.09","7,874.88","7,874.88","4,701,070,000"
2020-03-16,"7,392.73","7,422.20","6,882.86","6,904.59","6,904.59","4,618,120,000"
2020-03-17,"7,072.00","7,406.23","6,828.91","7,334.78","7,334.78","4,920,210,000"
2020-03-18,"6,902.32","7,182.83","6,686.36","6,989.84","6,989.84","4,935,000,000"
2020-03-19,"6,996.45","7,341.38","6,858.38","7,150.58","7,150.58","4,778,490,000"
2020-03-20,"7,248.07","7,354.44","6,854.67","6,879.52","6,879.52","5,260,300,000"
2020-03-23,"6,847.28","6,984.94","6,631.42","6,860.67","6,860.67","4,348,410,000"
2020-03-24,"7,196.15","7,418.37","7,169.86","7,417.86","7,417.86","4,441,080,000"
2020-03-25,"7,421.36","7,671.21","7,276.40","7,384.30","7,384.30","4,683,630,000"
2020-03-26,"7,462.21","7,809.83","7,462.21","7,797.54","7,797.54","4,014,670,000"
2020-03-27,"7,554.25","7,716.24","7,491.14","7,502.38","7,502.38","3,989,120,000"
2020-03-30,"7,583.46","7,784.35","7,539.97","7,774.15","7,774.15","3,870,770,000"
2020-03-31,"7,740.06","7,880.31","7,642.86","7,700.10","7,700.10","4,078,960,000"
2020-04-01,"7,459.50","7,566.37","7,301.98","7,360.58","7,360.58","3,700,040,000"
2020-04-02,"7,317.45","7,501.70","7,307.95","7,487.31","7,487.31","3,622,170,000"
2020-04-03,"7,477.27","7,518.72","7,288.11","7,373.08","7,373.08","3,294,260,000"
2020-04-06,"7,660.17","7,938.33","7,617.79","7,913.24","7,913.24","3,849,130,000"
2020-04-07,"8,129.99","8,146.43","7,881.22","7,887.26","7,887.26","4,085,960,000"
2020-04-08,"7,975.72","8,114.43","7,901.94","8,090.90","8,090.90","3,487,440,000"
2020-04-09,"8,169.01","8,227.91","8,072.32","8,153.58","8,153.58","4,145,460,000"
2020-04-13,"8,127.69","8,200.44","8,035.95","8,192.42","8,192.42","3,184,660,000"
2020-04-14,"8,353.21","8,531.11","8,338.08","8,515.74","8,515.74","3,767,410,000"
2020-04-15,"8,355.96","8,464.66","8,308.79","8,393.18","8,393.18","3,347,920,000"
2020-04-16,"8,479.11","8,560.16","8,393.27","8,532.36","8,532.36","4,057,800,000"
2020-04-17,"8,667.48","8,670.30","8,531.69","8,650.14","8,650.14","4,348,310,000"
2020-04-20,"8,553.38","8,684.91","8,553.38","8,560.73","8,560.73","3,827,370,000"
2020-04-21,"8,460.69","8,480.29","8,215.69","8,263.23","8,263.23","3,788,180,000"
2020-04-22,"8,434.55","8,537.31","8,404.54","8,495.38","8,495.38","3,041,520,000"
